Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-20 22:00:00,1081677.8319573163,1060170.5343455193,1037474.6047249765,1064512.964400551,1077197.0353442326,1103164.7471304012,1073437.5960219824,1088938.8616604311
2019-07-20 23:00:00,1039979.2078438267,1024520.9786652257,1001561.8033597126,1029610.1709958186,1041189.1794169184,1062713.03410826,1024040.0082421681,1042755.317645598
2019-07-21 00:00:00,999383.5293586279,994341.4113158748,976647.8984426048,991425.5568730042,1008527.9083115606,1022774.8765537437,995090.6604222832,1000165.6443596592
2019-07-21 01:00:00,974361.4712846321,967170.7673106465,948316.3694533124,962464.9063303047,982159.7116876161,995591.0049962745,961127.424276657,967483.3126628902
2019-07-21 02:00:00,956315.0046007581,947340.0297414871,927839.7166915273,940729.5724441876,963229.1753197064,975448.5553452472,934498.8444861575,941641.0633020371
2019-07-21 03:00:00,939201.913668188,930754.916522296,910624.8337261521,921854.0181731617,947695.7965734879,961093.5155795654,922800.9356373807,926661.5102978444
2019-07-21 04:00:00,927130.9492372675,917348.8409546684,895740.6108810445,904894.9386352948,934819.2080498401,950169.0539548618,909695.2893125808,912298.8253899323
2019-07-21 05:00:00,934563.7280167296,917649.518086483,893482.9609761884,900052.0945521977,933247.5413076379,954301.2406786858,913724.6263460736,913839.682704617
2019-07-21 06:00:00,956904.2109822086,948019.6148985855,921035.3096626052,924660.6910863579,957346.3750479292,977018.0511388909,941147.7377644561,936671.0198124177
2019-07-21 07:00:00,1022499.793116255,1016127.3795071737,987377.0301082486,988237.6928025361,1014720.6139707704,1031820.0725667588,1001302.4523211892,994776.8882981987
2019-07-21 08:00:00,1099948.2081462082,1109338.17296081,1080684.9566353187,1079663.2676986917,1095701.6350276715,1098137.600217918,1069817.4805637726,1062054.7132616497
2019-07-21 09:00:00,1180434.4164131973,1198260.3048681228,1171387.855880683,1169848.7934775208,1175625.1062387552,1168312.7935714286,1156626.2674696601,1142388.2861695301
2019-07-21 10:00:00,1250468.432766501,1254833.7740239138,1230638.8652668372,1229993.0470588524,1229931.4315051257,1222287.197099265,1218390.2009476512,1209396.1102010624
2019-07-21 11:00:00,1260291.243656382,1270760.707446055,1249500.5037768744,1250863.225612021,1250231.2364091394,1233276.2694112363,1236219.3875766033,1221843.5021808182
2019-07-21 12:00:00,1241216.2340879305,1260845.2667595402,1242596.0456097333,1246683.0140397502,1247902.4862694233,1222678.1298549837,1222608.831694125,1210783.8873004601
2019-07-21 13:00:00,1221727.7006784857,1248666.7158233896,1233390.8302416466,1240518.594369266,1242447.8112835526,1209436.4051727122,1202926.5838691804,1194333.4724473963
2019-07-21 14:00:00,1221850.5544842703,1247291.6723754464,1234363.434693695,1244357.3366007975,1245053.5527192228,1210669.4344478613,1204879.548071965,1199386.7493428865
2019-07-21 15:00:00,1215164.4100079953,1251380.3306221394,1239178.347947526,1251204.4832975236,1251395.0280667772,1209273.219890585,1199397.307826296,1195587.231093188
2019-07-21 16:00:00,1205070.029102149,1245985.1675888496,1232271.1574000986,1244853.1309443219,1248669.2250554357,1204942.9533820422,1195919.9282654016,1190071.6835993975
2019-07-21 17:00:00,1178235.5809901722,1222277.0654217994,1205357.0467898517,1216804.7046489199,1228928.7401771995,1184186.1045484545,1169086.760270826,1162260.7684388617
2019-07-21 18:00:00,1141170.7312364853,1185380.509885888,1165179.147242467,1174313.794010837,1196090.7027727328,1152339.8657049886,1130158.3722214303,1122518.143792179
