Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-01-02 10:00:00,1231016.561490939,1188493.647614699,1243136.7279155252,1235894.9349389556,1218183.7369280225,1228047.9302535288,1223528.4592782487,1200070.540149071,1204072.1483593818,1218944.337212605,1227568.0011950673,1232501.8264181442,1192779.984070622,1167038.540071401,1187527.592440649,1212259.7540720634
2019-01-02 11:00:00,1247813.2586693992,1203185.6231051374,1258862.2724534052,1251586.8289481662,1232491.3114589555,1243759.4544819517,1237455.228712502,1217350.7951040966,1219764.6463292562,1234667.532398331,1244514.6350972431,1247609.8144591753,1206680.254353517,1193091.5632305248,1205875.834944782,1241035.01862307
2019-01-02 12:00:00,1245166.9855743535,1206621.2602356784,1256026.2584941962,1254517.3208605966,1235095.5400804256,1246798.2855691388,1238819.5885743555,1219716.4723386294,1219866.5332259436,1233969.2150726747,1245102.890679476,1246485.7495285159,1209355.7821930195,1194605.1694611118,1208860.7805268674,1240760.2336187582
2019-01-02 13:00:00,1236536.7168467161,1204049.2832971648,1248320.2998926109,1251252.441123328,1228799.3395610233,1242101.8342006076,1233060.2249863185,1212469.4101177084,1212244.056409198,1226120.9465756218,1238318.9177333924,1237591.3833534003,1205232.139227769,1191482.4369170927,1208539.4427259727,1228509.8878037462
2019-01-02 14:00:00,1248289.467328452,1201419.8058143856,1260472.390046272,1261423.5557938195,1235923.034126648,1251354.2163041183,1241146.0898783389,1222900.6431966876,1218391.156427976,1233703.1214548773,1246820.354999273,1243749.3832261306,1200287.6255809483,1187322.957630783,1203932.8109724664,1236388.5378930862
2019-01-02 15:00:00,1247023.6960976664,1197641.7374891841,1260068.170096324,1266874.5222517666,1237860.770481294,1255505.7450568953,1244913.0432163714,1223132.0641488638,1217662.885939532,1232838.54228971,1245881.3205870113,1241295.9053920987,1195609.0539675946,1184364.8316871505,1199584.3485194775,1230776.2325187265
2019-01-02 16:00:00,1241477.9800620424,1192361.6368217366,1252120.4325232904,1266585.5119987957,1235688.559349443,1254504.1453281692,1243342.2923536692,1212247.4059977187,1212467.5028338525,1224479.8766452624,1236178.070336312,1230681.5617352633,1190679.8017489163,1178029.5517409856,1192598.0100318687,1215522.3282245009
2019-01-02 17:00:00,1222085.3182396786,1183493.8518654332,1228809.0384776946,1250789.5965208253,1217077.6578163628,1236968.7316955721,1226316.9439579896,1186380.981786516,1197738.6819880516,1206558.177225305,1213967.0415557076,1208012.3960293373,1182324.0833509997,1166577.2994042262,1182712.7224226894,1186423.3254779845
2019-01-02 18:00:00,1200686.4472207215,1164072.0375384407,1205580.4373236892,1231985.079175869,1198054.5405196385,1217217.561858717,1207954.8376567787,1157449.5119237234,1190812.2139406754,1193565.5301785187,1195335.194199751,1183209.2279326783,1161591.6203787734,1151701.843086036,1161745.4804608596,1150432.6883927272
2019-01-02 19:00:00,1151939.9931248953,1126378.214825697,1153886.5850686461,1185438.2940349018,1151416.1215880923,1168258.6980609065,1161199.8893757905,1108431.7839845384,1152905.2167055416,1151475.4981728422,1154707.9396355536,1146519.08071976,1130965.500355465,1126280.4129286658,1131617.3312862974,1106926.839576054
2019-01-02 20:00:00,1109147.1803379478,1088764.5553679082,1107159.1982355032,1142297.933044066,1110226.2831663738,1124445.5927858169,1118866.784361467,1062690.3033407899,1118018.5538548874,1114608.5108436397,1116176.4682642685,1109512.6167425988,1085620.0518678685,1095327.475393835,1100296.3998602864,1064333.4288630898
2019-01-02 21:00:00,1075142.39743932,1052227.1161852465,1073372.5557266385,1105910.1495835383,1075503.7828073364,1086633.5851590673,1083492.573006696,1026806.9203444059,1090413.4328650546,1086938.8681307998,1088643.498930462,1082303.1862249447,1046568.1239871247,1058019.170631815,1060061.4626057812,1027419.4474843127
2019-01-02 22:00:00,1039396.5982035472,1008337.2428903106,1039048.2947498098,1065268.7965529005,1035460.3658781147,1043620.9757619653,1042739.561153988,998749.1666068955,1055595.7596928047,1054233.3467838408,1059043.776851439,1053782.491042012,1011540.7373026721,1016934.1632599449,1015049.8415329206,1005920.7273905871
2019-01-02 23:00:00,1004564.5839168166,980859.5098523633,1006424.632302651,1029364.2511619995,1000176.9496885263,1005204.229640172,1006224.7003498601,969943.1445264795,1022695.5213447727,1022717.5051807398,1030767.36876611,1027385.8035520074,979359.6483615445,983938.6696354118,980057.3123128634,975003.6799720069
2019-01-03 00:00:00,998070.8743862216,959527.854476282,984172.5653607957,1001606.2331936914,981645.5506549301,983547.9530566968,983942.0481107206,955504.3390845341,1016483.7313736145,1016911.3122688445,1026345.951135938,1022927.0670659473,956532.609629683,961135.5166530292,962663.5649750845,948978.9005263995
2019-01-03 01:00:00,979861.4475999118,940270.95553835,963909.7933668996,982272.4140876876,962627.6077128343,963532.1943878473,964166.5749931661,933269.9699903579,996952.5493028606,996388.1165312971,1002835.9504863716,999726.0634522523,938740.6687640386,944586.9574615035,942504.5565208182,925755.1059468695
2019-01-03 02:00:00,961776.9558822109,927193.5232489861,944518.6167838278,966544.1379054175,946894.1807743827,948136.9245048714,948412.9351116279,914845.887792119,981795.0809236562,979721.3960423132,983941.9777746267,980548.4981133388,925430.8804142587,929492.9696586521,928377.0256731198,906872.4920855254
2019-01-03 03:00:00,950826.5075571929,919398.057354994,934225.7596747193,955036.7313347769,935811.8645131462,937299.5386754216,937033.6370507895,902959.5916192072,970576.521952883,968334.8970439108,971102.0613097015,968378.851989231,918090.554709702,923210.0394994642,922570.3733938361,895719.055417286
2019-01-03 04:00:00,945876.2537744499,916697.2402855499,929508.1947373966,952855.3011465837,933882.8632325626,936473.8115549225,936029.3822908761,897700.5719652941,967040.7704564797,964663.5989808858,965695.9945891962,963688.2403427354,917305.8953603611,921191.2695652053,921323.1028248835,884238.1872559543
2019-01-03 05:00:00,959091.8994602517,924484.2883077408,941006.4831730907,965838.028280465,947166.7091710538,951735.4437100154,951409.1497363651,905294.9788850981,976803.4583335932,973511.0756893952,973434.422014236,971893.3271399768,925456.9218590886,926901.6813459499,928623.7699502435,893456.2867344953
