Time,Prophet_optimized
2018-01-02 00:00:00,1014167.3792425303
2018-01-02 01:00:00,995978.2219150983
2018-01-02 02:00:00,981350.3961379926
2018-01-02 03:00:00,969990.0514403336
2018-01-02 04:00:00,969095.0758377579
2018-01-02 05:00:00,982164.8467618345
2018-01-02 06:00:00,1006970.3650748177
2018-01-02 07:00:00,1063704.562822563
2018-01-02 08:00:00,1152440.996038142
2018-01-02 09:00:00,1235879.7527118078
2018-01-02 10:00:00,1282928.988412895
2018-01-02 11:00:00,1308142.622671056
2018-01-02 12:00:00,1309830.0466655085
2018-01-02 13:00:00,1298741.2027687107
2018-01-02 14:00:00,1300562.2006170126
2018-01-02 15:00:00,1284518.5086867507
2018-01-02 16:00:00,1272022.570308517
2018-01-02 17:00:00,1247863.7901953557
2018-01-02 18:00:00,1224937.6231330559
2018-01-02 19:00:00,1173815.2470719302
2018-01-02 20:00:00,1128315.4560975614
2018-01-02 21:00:00,1099040.0793657207
2018-01-02 22:00:00,1061875.5213049848
2018-01-02 23:00:00,1027472.5554884829
2018-01-03 00:00:00,1008755.3228620852
2018-01-03 01:00:00,987993.9122052302
2018-01-03 02:00:00,975370.6065686774
2018-01-03 03:00:00,964924.0155826686
2018-01-03 04:00:00,965517.4653697049
2018-01-03 05:00:00,976125.4072013769
2018-01-03 06:00:00,997862.9667908521
2018-01-03 07:00:00,1047286.7037219148
2018-01-03 08:00:00,1136521.953005034
2018-01-03 09:00:00,1227162.9341680692
2018-01-03 10:00:00,1276199.2199574634
2018-01-03 11:00:00,1295975.912072921
2018-01-03 12:00:00,1299905.538235289
2018-01-03 13:00:00,1293119.8135300921
2018-01-03 14:00:00,1306226.0699143498
2018-01-03 15:00:00,1294568.69533417
2018-01-03 16:00:00,1284133.7217423639
2018-01-03 17:00:00,1262595.8991993915
2018-01-03 18:00:00,1241817.8613933483
2018-01-03 19:00:00,1190317.2700228875
2018-01-03 20:00:00,1152035.13225719
2018-01-03 21:00:00,1113520.5071519262
2018-01-03 22:00:00,1076825.3815139157
2018-01-03 23:00:00,1043339.1832929722
2018-01-04 00:00:00,1017592.4322931065
2018-01-04 01:00:00,987516.6182606447
2018-01-04 02:00:00,974689.4759874232
2018-01-04 03:00:00,955542.0714167192
2018-01-04 04:00:00,958588.8796318109
2018-01-04 05:00:00,966544.6278438532
2018-01-04 06:00:00,992795.3236573862
2018-01-04 07:00:00,1052766.4888456487
2018-01-04 08:00:00,1152251.41494044
2018-01-04 09:00:00,1250342.2371004168
2018-01-04 10:00:00,1297886.3020835416
2018-01-04 11:00:00,1317487.8696671312
2018-01-04 12:00:00,1320789.9786550717
2018-01-04 13:00:00,1316109.3955590713
2018-01-04 14:00:00,1335922.36904224
2018-01-04 15:00:00,1337801.848249966
2018-01-04 16:00:00,1330051.658745487
2018-01-04 17:00:00,1298421.4505784505
2018-01-04 18:00:00,1254535.084849132
2018-01-04 19:00:00,1207964.252614578
2018-01-04 20:00:00,1168701.5405496722
2018-01-04 21:00:00,1134770.890859072
2018-01-04 22:00:00,1092691.114873715
2018-01-04 23:00:00,1050681.4580335873
2018-01-05 00:00:00,1017295.8758411921
2018-01-05 01:00:00,1000307.2312605097
2018-01-05 02:00:00,989136.843150107
2018-01-05 03:00:00,978972.2510041317
2018-01-05 04:00:00,977425.4384513668
2018-01-05 05:00:00,985409.0164810948
2018-01-05 06:00:00,1011677.5952099141
2018-01-05 07:00:00,1067352.8019848298
2018-01-05 08:00:00,1155224.6841901278
2018-01-05 09:00:00,1245650.5996701173
2018-01-05 10:00:00,1302161.4510200021
2018-01-05 11:00:00,1324959.0809328866
2018-01-05 12:00:00,1325096.663553912
2018-01-05 13:00:00,1308128.648617931
2018-01-05 14:00:00,1320651.9265612334
2018-01-05 15:00:00,1322329.9180439264
2018-01-05 16:00:00,1318786.0489341985
2018-01-05 17:00:00,1296248.619286038
2018-01-05 18:00:00,1273942.722089532
2018-01-05 19:00:00,1221129.0370427484
2018-01-05 20:00:00,1178934.0352415538
2018-01-05 21:00:00,1142245.8648125385
2018-01-05 22:00:00,1100258.890749272
2018-01-05 23:00:00,1065495.5568801162
2018-01-06 00:00:00,1024262.0470036126
2018-01-06 01:00:00,1010616.014152193
2018-01-06 02:00:00,994023.5721478527
2018-01-06 03:00:00,988363.1503937261
2018-01-06 04:00:00,988964.7032442518
2018-01-06 05:00:00,986504.4919406231
2018-01-06 06:00:00,995120.2578685659
2018-01-06 07:00:00,1014562.7098143632
2018-01-06 08:00:00,1061956.2778739976
2018-01-06 09:00:00,1130608.8000992108
2018-01-06 10:00:00,1177925.69109377
2018-01-06 11:00:00,1199007.08881498
2018-01-06 12:00:00,1201596.3526804477
2018-01-06 13:00:00,1192639.6517678765
2018-01-06 14:00:00,1193293.664169767
2018-01-06 15:00:00,1182745.4448057266
2018-01-06 16:00:00,1169401.0401243698
2018-01-06 17:00:00,1160564.4349519701
2018-01-06 18:00:00,1158841.5323327
2018-01-06 19:00:00,1129113.992825537
2018-01-06 20:00:00,1106964.2808604871
2018-01-06 21:00:00,1086382.0312890888
2018-01-06 22:00:00,1064916.4847605852
2018-01-06 23:00:00,1034773.487218967
2018-01-07 00:00:00,1002884.1891230132
2018-01-07 01:00:00,985387.2058700081
2018-01-07 02:00:00,971940.7246578261
2018-01-07 03:00:00,958847.0017334723
2018-01-07 04:00:00,957830.7137203778
