,0
-575.5067686276,0.8627563015664723
-577.3334424204859,0.8735925250617002
-555.7206894505321,0.8075034232548662
-558.2566250139319,0.785730970558312
-562.3783213281469,0.8220156815718729
-556.338865812377,0.7920737653310687
-542.6007954866232,0.7879768893968165
-568.4533454326192,0.8020490321149174
-729.6679823083555,1.6118404184575563
-716.5698605957878,1.6025986305364597
-719.5186963812766,1.5981610345709691
-717.2993874549295,1.5900159623438699
-565.726880942846,0.8404156736958766
-557.3834412863032,0.802212911731387
-562.4383833296279,0.816924077578464
-557.1960206295773,0.8261998843912668
-515.4506388073219,0.0
-590.5629267153458,1.0
-640.6987971623656,1.2877836940963507
-651.699388012576,1.315673999344294
-653.0269944589667,1.2563691828791432
-639.5614373632905,1.2267200765118218
-654.9882417614621,1.2643315616530055
-649.2725427798664,1.2113131250944036
-655.1052054412858,1.1895865908346235
-632.7080188703387,1.1682790783218764
-550.582831164855,0.7635672087286559
-557.7658275504077,0.7901939440236811
-562.8568359452005,0.8194880678487801
-715.3902506016502,1.5992418474882673
-537.9982728688778,0.7116230255500826
-1063.33651377,0.0
