,0
-575.5067686156174,0.8627563015664723
-577.3334423876444,0.8735925250617002
-565.6856551485876,0.8075034232548662
-543.3183171012736,0.785730970558312
-562.5948466389195,0.8220156815718729
-560.7973395596542,0.7920737653310687
-548.4456713311131,0.7879768893968165
-564.89540491041,0.8020490321149174
-726.0070219421938,1.6118404184575563
-717.1871652877556,1.6025986305364597
-718.1003231478376,1.5981610345709691
-700.70207842338,1.5900159623438699
-573.018970297321,0.8404156736958766
-552.7783221234465,0.802212911731387
-558.256632674629,0.816924077578464
-562.829342762881,0.8261998843912668
-498.3709038676778,0.0
-587.1446946206781,1.0
-550.7571377438783,0.7635672087286559
-551.6245060546961,0.7901939440236811
-556.5155733405245,0.8194880678487801
-719.833362264023,1.5992418474882673
-548.8977348316955,0.7116230255500826
-1063.33651377,0.0
