,model,cost_evaluation,error_evaluation,runtime
0,Naive weekly,14397.497485447311,0.45808460081148483,0.9202516078948975
1,Naive daily,16326.347751883097,0.7476727960076467,0.8912980556488037
2,RegressionModelLags,15201.81962165748,0.3863845868728549,41.44537925720215
3,RegressionModelCov,13860.562612085929,0.5603482829665362,76.51824307441711
4,LGBM,18176.13494623846,0.5549771354450694,111.76291465759277
5,Theta,17160.149714259,0.3046596889456898,2.6429200172424316
6,FFT,11893.140161338022,0.778027757665657,1.4510250091552734
7,Fact,2619.9394650342465,0.0,
