,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,1.9366549960033328,2.5159830550543334
1,Naive daily,0.6357425000000001,2.022139170836333,2.515983055921
2,Theta,0.43655583951973076,0.9577397180099999,2.3950909193263334
3,RegLags24,0.5861260382407694,2.8463517120116677,2.653098010928333
4,RegLags168,0.3687790031970456,1.9357131268703336,2.5861142253963334
5,RegLags336,0.3309041739534518,1.7936922388700003,2.5452259799368986
6,RegCov24,0.32009483179728176,1.4013682619366667,2.6057768746436323
7,RegCov168,0.25171631011962886,1.342411088598667,2.5863023408609993
8,RegCov336,0.2523827519904243,1.463813986755967,2.581999411569766
9,RegCovLGBM,0.2734891455648074,1.444804050952666,2.558405966045199
10,Fact,0.0,2.198033381972664e-08,2.5159830562543335
11,noisy_biased_1p,1.0,1.2765716666633333,1.9375979198456665
12,noisy_biased_2p,2.0,14.254234630666668,3.1356315454823336
13,noisy_biased_3p,3.0,59.53133748033332,12.936502077757666
14,noisy_biased_4p,4.0,124.14408365700005,28.69088219417334
15,noisy_biased_1n,1.0,4.958014998566667,2.6666666666200007
16,noisy_biased_2n,2.0,6.047120835733335,2.666666667023333
17,noisy_biased_3n,3.0,6.618744167666663,2.66666666699
18,noisy_biased_4n,4.0,6.780381668199998,2.653503333845667
19,noisy_normal_0u_1s,0.5049694370920971,2.1298797781503005,2.5096853888737662
20,noisy_normal_0u_2s,0.9916904126616929,4.1054744772100005,2.495204334781
21,noisy_normal_0u_3s,1.4925488454151898,6.074210057642334,2.5266083868376996
22,noisy_normal_0u_4s,1.9724906640192137,7.883993134446666,2.5203444605157324
23,noisy_signal_dependent_10,0.528979496548383,2.440500436502666,2.528332786375666
24,noisy_signal_dependent_20,1.0424795496651011,4.7133073851699985,2.503470505315333
25,noisy_signal_dependent_30,1.5657881995212533,7.017945974080003,2.539318258962667
26,noisy_signal_dependent_40,2.069813433840943,8.93314876802667,2.478994718747
27,noisy_horizon_dependent_10,0.528979496548383,2.440500436502666,2.528332786375666
28,noisy_horizon_dependent_20,1.0424795496651011,4.7133073851699985,2.503470505315333
29,noisy_horizon_dependent_30,1.5657881995212533,7.017945974080003,2.539318258962667
30,noisy_horizon_dependent_40,2.069813433840943,8.93314876802667,2.478994718747
