,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,0.9133291650700002,1.3298108332199998
1,Naive daily,0.6357425000000001,0.9265191665030001,1.3298108333299998
2,Theta,0.43655583951973076,1.327585650916667,1.287798714711333
3,RegLags24,0.5861260382407694,1.3757077170916672,1.3333333317996663
4,RegLags168,0.3687790031970456,0.9370889151236668,1.3333333310666662
5,RegLags336,0.3309041739534518,0.874999573806667,1.3261867188982333
6,RegCov24,0.32009483179728176,0.7956281196533334,1.331031339327333
7,RegCov168,0.25171631011962886,0.7210685678520001,1.331040498331
8,RegCov336,0.2523827519904243,0.7782173243659668,1.3333333320631
9,RegCovLGBM,0.2734891455648074,0.7507646341700006,1.3277197148966662
10,Fact,0.0,0.05020167381366699,1.3298108333299996
11,noisy_biased_1p,1.0,2.0586341593000004,1.1130716655001
12,noisy_biased_2p,2.0,7.878582905000001,0.466355693269
13,noisy_biased_3p,3.0,29.83129824866667,3.1118045570443322
14,noisy_biased_4p,4.0,81.88591141866668,14.744807558666666
15,noisy_biased_1n,1.0,1.87746083447,1.3333333337033333
16,noisy_biased_2n,2.0,2.039885001233334,1.3333333337456665
17,noisy_biased_3n,3.0,2.0454966666666667,1.3333333333333333
18,noisy_biased_4n,4.0,2.0454966666666667,1.3333333333333333
19,noisy_normal_0u_1s,0.5049694370920971,1.1834457915126335,1.3221837751701002
20,noisy_normal_0u_2s,0.9916904126616929,1.961021717751335,1.2798770183036667
21,noisy_normal_0u_3s,1.4925488454151898,3.1852243516099987,1.3241990645789
22,noisy_normal_0u_4s,1.9724906640192137,4.774537394376666,1.3125101796630665
23,noisy_signal_dependent_10,0.528979496548383,1.3818139834626673,1.3193619238043326
24,noisy_signal_dependent_20,1.0424795496651011,2.2539445381233354,1.2649912152286669
25,noisy_signal_dependent_30,1.5657881995212533,4.024481549060001,1.3333333328833337
26,noisy_signal_dependent_40,2.069813433840943,5.9651716359,1.330321622037
27,noisy_horizon_dependent_10,0.528979496548383,1.3818139834626673,1.3193619238043326
28,noisy_horizon_dependent_20,1.0424795496651011,2.2539445381233354,1.2649912152286669
29,noisy_horizon_dependent_30,1.5657881995212533,4.024481549060001,1.3333333328833337
30,noisy_horizon_dependent_40,2.069813433840943,5.9651716359,1.330321622037
