,model,cost_evaluation,error_evaluation,runtime
0,Naive weekly,61090.35040681073,0.4005105111766154,3.229526996612549
1,Naive daily,68751.33237166665,0.77769136586192,3.2039029598236084
2,RegressionModelLags,62482.3499180108,0.36551021829771463,404.51783061027527
3,RegressionModelCov,67961.7183390815,0.4205920031567305,734.139753818512
4,LGBM,72921.68020523005,0.5162576265027906,891.208215713501
5,Theta,67671.00831786045,0.2873280708132726,12.315220832824707
6,FFT,60780.969779801795,0.6433644999646125,5.840643405914307
7,Fact,13661.05117326383,0.0,
