,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,20.79926629889333,3.128776407045667
1,Naive daily,0.6357425000000001,24.38366293556664,4.113855146015669
2,Theta,0.43655583951973076,28.58162816922603,5.013576375077666
3,RegLags24,0.5861260382407694,16.475972288876005,2.055442508603333
4,RegLags168,0.3687790031970456,18.95651161840213,3.041025150886153
5,RegLags336,0.3309041739534518,18.057728637526033,2.8529652035052346
6,RegCov24,0.32009483179728176,16.61631590513232,2.432257918461333
7,RegCov168,0.25171631011962886,16.255400348298785,2.4408885213199256
8,RegCov336,0.2523827519904243,15.994423340364001,2.346883479182667
9,RegCovLGBM,0.2734891455648074,17.75285024791397,2.911252498366433
10,Fact,0.0,16.73113132767366,3.1356315454823336
11,noisy_biased_1p,1.0,63.04920747936664,12.936502077757666
12,noisy_biased_2p,2.0,128.19755865700003,28.69088219417334
13,noisy_biased_3p,3.0,204.57755795733334,47.442644460433335
14,noisy_biased_4p,4.0,270.33716463933337,62.12530696633331
15,noisy_biased_1n,1.0,17.751247924933658,1.9375979198456665
16,noisy_biased_2n,2.0,22.028298336059667,2.5159830562543335
17,noisy_biased_3n,3.0,22.949591666460005,2.6666666666200007
18,noisy_biased_4n,4.0,23.153457501069994,2.65350333369
19,noisy_normal_0u_1s,0.5049694370920971,21.793705302492075,3.252986659010134
20,noisy_normal_0u_2s,0.9916904126616929,24.727704727953327,2.5669610222810006
21,noisy_normal_0u_3s,1.4925488454151898,28.677559079277334,2.357070618935667
22,noisy_normal_0u_4s,1.9724906640192137,32.499911130148,2.3332934573369997
23,noisy_signal_dependent_10,0.528979496548383,22.16235851308012,3.255326372107112
24,noisy_signal_dependent_20,1.0424795496651011,25.508596299219324,2.537416385622333
25,noisy_signal_dependent_30,1.5657881995212533,29.69004419495367,2.352759949413532
26,noisy_signal_dependent_40,2.069813433840943,33.787330832024,2.4194921717428652
27,noisy_horizon_dependent_10,0.528979496548383,22.16235851308012,3.255326372107112
28,noisy_horizon_dependent_20,1.0424795496651011,25.508596299219324,2.537416385622333
29,noisy_horizon_dependent_30,1.5657881995212533,29.69004419495367,2.352759949413532
30,noisy_horizon_dependent_40,2.069813433840943,33.787330832024,2.4194921717428652
