,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,4.887312084903669,1.9375979193023325
1,Naive daily,0.6357425000000001,5.186780839673668,1.9488387528456663
2,Theta,0.43655583951973076,5.884120747089335,1.9134381023093665
3,RegLags24,0.5861260382407694,5.3878629594099,2.1256044608995994
4,RegLags168,0.3687790031970456,4.386940551089232,2.0591181376433
5,RegLags336,0.3309041739534518,4.565928809659332,2.1155962736500675
6,RegCov24,0.32009483179728176,3.6641886241267674,2.0511140137856327
7,RegCov168,0.25171631011962886,3.325856882475668,2.0559838370299994
8,RegCov336,0.2523827519904243,3.3865332679215556,2.0568664082667403
9,RegCovLGBM,0.2734891455648074,3.864827320974502,2.114639881646833
10,Fact,0.0,1.7145400298869995,1.9375979198456665
11,noisy_biased_1p,1.0,15.315327130566663,3.1356315454823336
12,noisy_biased_2p,2.0,61.23896164599998,12.936502077757666
13,noisy_biased_3p,3.0,126.13961365700004,28.69088219417334
14,noisy_biased_4p,4.0,202.5575579573334,47.442644460433335
15,noisy_biased_1n,1.0,9.826539168389662,2.5159830562543335
16,noisy_biased_2n,2.0,12.144155832166668,2.6666666666200007
17,noisy_biased_3n,3.0,12.426365001103331,2.666666667023333
18,noisy_biased_4n,4.0,12.760639167666668,2.653503333656667
19,noisy_normal_0u_1s,0.5049694370920971,5.627300071838534,1.9903331293820672
20,noisy_normal_0u_2s,0.9916904126616929,9.402805314479998,2.016459788727667
21,noisy_normal_0u_3s,1.4925488454151898,14.110177977043666,2.3294634526266664
22,noisy_normal_0u_4s,1.9724906640192137,16.52702939396667,2.1730636227910005
23,noisy_signal_dependent_10,0.528979496548383,6.031592009213631,2.0132706806725333
24,noisy_signal_dependent_20,1.0424795496651011,10.286734375003004,2.0870257545634003
25,noisy_signal_dependent_30,1.5657881995212533,15.52707517815001,2.4521960534249994
26,noisy_signal_dependent_40,2.069813433840943,18.28874454155001,2.2641412028758663
27,noisy_horizon_dependent_10,0.528979496548383,6.031592009213631,2.0132706806725333
28,noisy_horizon_dependent_20,1.0424795496651011,10.286734375003004,2.0870257545634003
29,noisy_horizon_dependent_30,1.5657881995212533,15.52707517815001,2.4521960534249994
30,noisy_horizon_dependent_40,2.069813433840943,18.28874454155001,2.2641412028758663
