,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,3.3873495821400024,4.4795005567176664
1,Naive daily,0.6357425000000001,4.056605421969666,4.462824168284333
2,Theta,0.43655583951973076,1.8667968558166672,4.269569319616334
3,RegLags24,0.5861260382407694,5.159848398358336,4.808366926144667
4,RegLags168,0.3687790031970456,3.237011674533666,4.526121701660332
5,RegLags336,0.3309041739534518,3.0290157529727004,4.5599583366311345
6,RegCov24,0.32009483179728176,2.3165471553023327,4.539147667313967
7,RegCov168,0.25171631011962886,2.180221757337,4.5521230118223315
8,RegCov336,0.2523827519904243,2.292482829732633,4.6034506226431
9,RegCovLGBM,0.2734891455648074,2.4693241048043357,4.5809134729153325
10,Fact,0.0,4.094700084777969e-08,4.479500557051
11,noisy_biased_1p,1.0,2.785456672663333,3.1430305590323333
12,noisy_biased_2p,2.0,19.497334605000002,5.2278345930356656
13,noisy_biased_3p,3.0,64.65875702966669,14.858869427791001
14,noisy_biased_4p,4.0,131.03196038000007,31.086311379129985
15,noisy_biased_1n,1.0,11.113863335366668,5.3107397233233335
16,noisy_biased_2n,2.0,16.617704168866666,5.231436666956665
17,noisy_biased_3n,3.0,22.002543331300004,4.645815276633333
18,noisy_biased_4n,4.0,27.657412910733342,3.016788609216668
19,noisy_normal_0u_1s,0.5049694370920971,3.6101452466792985,4.511219545286767
20,noisy_normal_0u_2s,0.9916904126616929,6.907732319543333,4.345770236201667
21,noisy_normal_0u_3s,1.4925488454151898,10.400512819299003,4.4009053709086965
22,noisy_normal_0u_4s,1.9724906640192137,13.548743216446672,4.156798125735732
23,noisy_signal_dependent_10,0.528979496548383,3.983991447139334,4.5516561353543326
24,noisy_signal_dependent_20,1.0424795496651011,7.498644530870003,4.2974406063489985
25,noisy_signal_dependent_30,1.5657881995212533,11.387104444566667,4.474064905053999
26,noisy_signal_dependent_40,2.069813433840943,14.921860837559995,4.194723656350331
27,noisy_horizon_dependent_10,0.528979496548383,3.983991447139334,4.5516561353543326
28,noisy_horizon_dependent_20,1.0424795496651011,7.498644530870003,4.2974406063489985
29,noisy_horizon_dependent_30,1.5657881995212533,11.387104444566667,4.474064905053999
30,noisy_horizon_dependent_40,2.069813433840943,14.921860837559995,4.194723656350331
