,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,26.06994293805666,5.229442787632332
1,Naive daily,0.6357425000000001,29.950497534433307,6.048966818359002
2,Theta,0.43655583951973076,36.014382311675995,7.8569590454280025
3,RegLags24,0.5861260382407694,15.364574100164335,1.640529526478667
4,RegLags168,0.3687790031970456,22.970228795131135,4.728709261659155
5,RegLags336,0.3309041739534518,21.63344070256937,4.418338273499899
6,RegCov24,0.32009483179728176,22.320226352749327,4.622210659758003
7,RegCov168,0.25171631011962886,20.99677246590544,4.261243585629927
8,RegCov336,0.2523827519904243,20.881285659339,4.314766427534334
9,RegCovLGBM,0.2734891455648074,20.58750584218064,4.253476271509099
10,Fact,0.0,21.311887141810345,5.2278345930356656
11,noisy_biased_1p,1.0,67.79242286300001,14.858869427791001
12,noisy_biased_2p,2.0,134.7902720466667,31.086311379129985
13,noisy_biased_3p,3.0,204.22589192666678,47.91536661633333
14,noisy_biased_4p,4.0,273.4922835633334,63.954887995666674
15,noisy_biased_1n,1.0,22.018976679730336,3.1430305590323333
16,noisy_biased_2n,2.0,31.234869172756333,4.479500557017666
17,noisy_biased_3n,3.0,36.952464167306665,5.225509722313334
18,noisy_biased_4n,4.0,41.10354499893665,4.64269999859
19,noisy_normal_0u_1s,0.5049694370920971,26.223499254428713,5.063598625819133
20,noisy_normal_0u_2s,0.9916904126616929,31.16994284447167,4.960557871735999
21,noisy_normal_0u_3s,1.4925488454151898,34.457711549417326,4.2894132669589995
22,noisy_normal_0u_4s,1.9724906640192137,41.21234064427466,4.732996321592664
23,noisy_signal_dependent_10,0.528979496548383,26.344885733440115,4.98498486635811
24,noisy_signal_dependent_20,1.0424795496651011,31.580006342758328,4.851785293743335
25,noisy_signal_dependent_30,1.5657881995212533,34.95231823153599,4.164388369109867
26,noisy_signal_dependent_40,2.069813433840943,40.833956419397325,4.200649095757932
27,noisy_horizon_dependent_10,0.528979496548383,26.344885733440115,4.98498486635811
28,noisy_horizon_dependent_20,1.0424795496651011,31.580006342758328,4.851785293743335
29,noisy_horizon_dependent_30,1.5657881995212533,34.95231823153599,4.164388369109867
30,noisy_horizon_dependent_40,2.069813433840943,40.833956419397325,4.200649095757932
