,Model,Forecast error,Peak violations,Energy costs
0,Naive weekly,0.47529428819444464,7.281126674366999,3.1762223647556667
1,Naive daily,0.6357425000000001,8.557489588266998,3.200407223832333
2,Theta,0.43655583951973076,10.410328355552664,3.9654817815498737
3,RegLags24,0.5861260382407694,7.12712591076257,2.983983757676267
4,RegLags168,0.3687790031970456,5.898379214467566,3.0145117212083004
5,RegLags336,0.3309041739534518,6.013646192467336,3.076984616750402
6,RegCov24,0.32009483179728176,4.386085548446433,2.632458033422034
7,RegCov168,0.25171631011962886,3.794099502982001,2.582556000801
8,RegCov336,0.2523827519904243,3.8308360971182203,2.57960647842374
9,RegCovLGBM,0.2734891455648074,4.877132647973502,2.884166283586166
10,Fact,0.0,2.995456713550335,3.1430305590323333
11,noisy_biased_1p,1.0,20.323403771266666,5.2278345930356656
12,noisy_biased_2p,2.0,66.16450202966669,14.858869427791001
13,noisy_biased_3p,3.0,132.88196038000007,31.086311379129985
14,noisy_biased_4p,4.0,202.21561526000008,47.91536661633333
15,noisy_biased_1n,1.0,15.322855421489658,4.479500557160999
16,noisy_biased_2n,2.0,22.941455834766657,5.3107397232133335
17,noisy_biased_3n,3.0,27.3573125015,5.07435277688
18,noisy_biased_4n,4.0,31.65505499749999,3.784094304544334
19,noisy_normal_0u_1s,0.5049694370920971,8.011480438408535,3.316505332322065
20,noisy_normal_0u_2s,0.9916904126616929,11.59532656191333,3.1295747632626667
21,noisy_normal_0u_3s,1.4925488454151898,17.09902748622366,3.403931379160668
22,noisy_normal_0u_4s,1.9724906640192137,20.58584288615665,3.0829914190282
23,noisy_signal_dependent_10,0.528979496548383,8.409704264620295,3.3251050898815344
24,noisy_signal_dependent_20,1.0424795496651011,12.388817257126329,3.169339042080066
25,noisy_signal_dependent_30,1.5657881995212533,18.010908254150003,3.2798165267856674
26,noisy_signal_dependent_40,2.069813433840943,22.182954734368003,3.190910441839233
27,noisy_horizon_dependent_10,0.528979496548383,8.409704264620295,3.3251050898815344
28,noisy_horizon_dependent_20,1.0424795496651011,12.388817257126329,3.169339042080066
29,noisy_horizon_dependent_30,1.5657881995212533,18.010908254150003,3.2798165267856674
30,noisy_horizon_dependent_40,2.069813433840943,22.182954734368003,3.190910441839233
