,0
-340.4658683953238,0.8627563015664723
-332.38914740525524,0.8735925250617002
-331.33968992599176,0.8075034232548662
-322.69677460331616,0.785730970558312
-328.61064279510106,0.8220156815718729
-328.8286933375335,0.7920737653310687
-330.8752646352747,0.7879768893968165
-314.6965516920485,0.8020490321149174
-422.9701890940861,1.6118404184575563
-404.02805982100574,1.6025986305364597
-401.4806116451091,1.5981610345709691
-405.4436982281244,1.5900159623438699
-312.13518252415724,0.8404156736958766
-330.06019408816604,0.802212911731387
-330.13932039627883,0.816924077578464
-314.87750896969874,0.8261998843912668
-291.83212594738495,0.0
-347.4012340196348,1.0
-572.28068506,0.0
