iter	Passed	Remaining
476	709	778
477	711	777
478	713	775
479	714	774
480	716	772
481	717	771
482	719	770
483	721	768
484	722	767
485	724	766
486	725	764
487	726	762
488	728	761
489	730	759
490	731	758
491	732	756
492	734	755
493	735	753
494	737	752
495	738	750
496	739	748
497	741	747
498	743	746
499	744	744
500	746	743
501	747	741
502	749	740
503	751	739
504	752	738
505	754	736
506	756	735
507	757	733
508	759	732
509	761	731
510	762	730
511	764	728
512	765	726
513	767	725
514	768	723
515	769	722
516	771	721
517	773	719
518	774	718
519	776	716
520	777	714
521	779	713
522	780	712
523	782	710
524	783	709
525	785	707
526	786	706
527	788	704
528	789	703
529	791	701
530	792	700
531	794	698
532	795	697
533	797	695
534	798	694
535	800	692
536	801	691
537	803	689
538	805	688
539	806	687
540	808	685
541	809	683
542	810	682
543	811	680
544	813	679
545	814	677
546	815	675
547	817	674
548	818	672
549	820	671
550	821	669
551	823	668
552	824	666
553	826	665
554	828	663
555	829	662
556	830	660
557	832	659
558	833	657
559	835	656
560	836	654
561	837	653
562	839	651
563	840	650
564	842	648
565	844	647
566	845	645
567	846	644
568	848	642
569	850	641
570	851	639
571	852	638
572	854	636
573	855	634
574	857	633
575	858	632
576	860	630
577	862	629
578	864	628
579	865	626
580	867	625
581	868	623
582	870	622
583	871	620
584	873	619
585	874	617
586	875	616
587	877	614
588	878	613
589	880	611
590	881	610
591	883	608
592	884	607
593	886	605
594	888	604
595	889	602
596	890	601
597	892	600
598	894	598
599	895	596
600	896	595
601	898	593
602	899	592
603	901	591
604	902	589
605	904	587
606	905	586
607	907	584
608	908	583
609	909	581
610	911	580
611	912	578
612	913	576
613	915	575
614	916	573
615	918	572
616	920	571
617	921	569
618	923	568
619	924	566
620	926	565
621	927	563
622	929	562
623	930	560
624	932	559
625	934	558
626	936	556
627	938	555
628	939	554
629	941	552
630	943	551
631	944	550
632	946	548
633	948	547
634	949	545
635	950	544
636	952	542
637	953	540
638	954	539
639	956	537
640	957	536
641	958	534
642	960	533
643	961	531
644	962	530
645	964	528
646	965	526
647	966	525
648	968	523
649	969	522
650	971	520
651	972	519
652	974	517
653	975	516
654	976	514
655	978	513
656	980	511
657	981	510
658	983	508
659	984	507
660	986	506
661	988	504
662	989	503
663	991	501
664	992	500
665	994	498
666	995	496
667	996	495
668	998	493
669	999	492
670	1001	491
671	1003	489
672	1004	488
673	1006	486
674	1007	485
675	1009	483
676	1010	482
677	1011	480
678	1013	479
679	1015	477
680	1016	476
681	1018	474
682	1019	473
683	1021	471
684	1022	470
685	1023	468
686	1024	466
687	1026	465
688	1027	463
689	1029	462
690	1030	460
691	1032	459
692	1033	457
693	1034	456
694	1035	454
695	1037	453
696	1038	451
697	1040	450
698	1041	448
699	1043	447
700	1044	445
701	1046	444
702	1047	442
703	1049	441
704	1050	439
705	1052	438
706	1053	436
707	1055	435
708	1056	433
709	1058	432
710	1059	430
711	1061	429
712	1062	427
713	1063	426
714	1065	424
715	1067	423
716	1068	421
717	1070	420
718	1071	418
719	1073	417
720	1074	415
721	1075	414
722	1077	412
723	1078	411
724	1080	409
725	1081	408
726	1082	406
727	1084	405
728	1085	403
729	1087	402
730	1089	400
731	1090	399
732	1092	397
